implicit,implied,Annotator
@USER @USER @USER And what does this have to do with a lying attorney and a 35 year old claim? I know it's hard for you liberals to look at two things at once,Liberals are always trying to make a big deal out of every event.,Annotator-2
A videographer who reported on the violence of Antifa was found dead due to a tragic car accident. Police now believe his death was no accident at all.  Welcome to the tolerant left.  URL,Reporting on Anti-facist (antifa) voilence could have lead to the death of a video,Annotator-2
@USER @USER FASCISTS OF THE FUTURE WILL CALL THEMSELVES ANTI FASCIST.  ANTIFA COMES TO MIND.,Anti-fascist are themselves extermist.,Annotator-2
@USER Seems hard to believe that you stood next to a guy wearing those shorts and didn't masturbate but I'll take your word for it,You seem to be a pervert.,Annotator-2
@USER @USER @USER Wow !!! no wonder the Liberals only got worse as a party of bullies to women...??? no accountability.,Liberals bully women all the time.,Annotator-2
@USER @USER Liberals don’t realize that thousands of unaccompanied minors were thrown across the border..... who is supposed to take care of them? Angelina Jolie?,Illegal child immigrants are a burden on the nation.,Annotator-2
@USER Why cant ISIS blow up these two assholes??,They do not deserve to live.,Annotator-2
@USER @USER @USER @USER You are a Liberal who doesn't even live in FL.,Liberals are like retired folks in FL.,Annotator-2
@USER Congratulaions. . . who were terrific. . . dont let some fucked up umpire ruin things for you. . . he'd be happy he did.,He is a crooked umpire.,Annotator-2
@USER what is this? We don’t want your $2 tacos we want fucking gun control. Are you seriously trying to capitalize off this tragedy? URL,You are opportunist.,Annotator-2
@USER Very simple....More gun control ads equals more guns sold. The gun illiterates aren’t smart enough to figure this out,People pushing for gun control are illiterates.,Annotator-2
@USER How Funny...#WNBA Championship Winners Won't Visit @USER Stupidity Of Liberals Is So Amazing...And That Face With The Plastic Stupidity Proves It...Oh...Right...She Might Harm Her Little Face...Whats Next...Complete Body Armor...,Liberals are stupid and deserve no support.,Annotator-2
Absolutely all fucking done.  Bye Felicia URL,Felicia should be bidden good bye.,Annotator-2
@USER @USER @USER Why? Because you are too busy spreading hate with your TDS? I’m sure you feel fine ridiculing children of conservatives. You represent everything that is wrong in the education (brainwashing) system.,You are a brainwashed liberal spreading hate.,Annotator-2
"@USER So she is using the feminist card as a excuse for her behavior in not getting what she wanted when the other competitor that she played was a A WOMAN"" who just was simply better than her today. Every woman in that room who applauded to that nonsense I feel sad for you.""",She is a fake feminist.,Annotator-2
@USER @USER Who really listens to those post menapausal angry yentas except hardcore liberals and femanazis?,Liberals and femanist give attention to hyterical women.,Annotator-2
.@USER Liberals are steamrolling #TPP through Parliament without proper debate. Why are the Liberals hell-bent on killing Canadian manufacturing jobs? #cdnpoli URL,Liberal are not considerate about Canadians.,Annotator-2
@USER @USER @USER Omg what country were you in?? It wasn’t America. But again you liberals will believe ANYTHING,Liberals are gullible to belive in any news about America.,Annotator-2
@USER When even readers of a liberal paper in effect liberals don't believe her accusations are credible. . .,Even her own folks do not find her credible.,Annotator-2
@USER @USER There are plenty of sane centrist democrat citizens but far leftist politicians &amp; Antifa weirdos? No thanks.,Lefist and Anti-fascist are weird.,Annotator-2
@USER Better than what? Truth? Politicians have never been good at that. My America is better than Flake.,Politicans are liars.,Annotator-2
@USER @USER Feinstein wanted to delay until after the midterms.  Hopefully the RED wave will wash her into the Atlantic. #MAGA,Feinstein will lose badly in midterm elections.,Annotator-2
@USER Madam will never respond. She is among those who see nothing good about PMB and his administration. It sucks.,She can never appreciate the good in others.,Annotator-2
@USER Nobody is addressing the cow in the room. Not even when Florence is still doing her thing. It's like after a mass shooting and it's the wrong time to talk about gun control. @USER,Mass shooting should not be an excuse to forward agenda.,Annotator-2
@USER I hope so. That Tana girl fucks anything lol,Tana is promiscuous.,Annotator-2
@USER Love how fat they all are while chowing down on cake and cookies. That's the future liberals want.,Liberals want people to be fat and obese.,Annotator-2
1. 2 protect Trumpie. 2. 2 increase presidential powers. 3. 2 kill Roe v. Wade. 4. 2 limit voting rights. 5. 2 weaken gun control. 6. 2 deal with religious liberty. Congress is not an august body. They lost that moniker when they went whole hog 4 Trumpism. URL,Congress is unimpressive and needs to be fixed.,Annotator-2
"@USER #Republicans love to say it's too early to talk"" about common sense gun control after these events - what they really want is people to forget and amnesia to kick in so they can ignore doing their jobs which is to protect the public  Gun control works and R's just procrastinate""",Republicans are not quikc to action for gun control.,Annotator-2
@USER Really another one holy crap wow all brought to you by the Liberals.,Liberals are always upto something crappy.,Annotator-2
@USER Congratulations @USER   for putting the NFL into the toilet.,You have ruined the NFL.,Annotator-2
@USER @USER @USER @USER @USER Chicago has strict gun control laws but the highest gun violence rate Detroit was owened by Unions and is now bankrupt Cali has the second highest welfare rate and is now the homeless capital of the developed world.,Places with stricter rules have worse public afairs.,Annotator-2
@USER Time for Canadians to let all liberals if no Trade deal in two months no vote for any liberal MP! Make that our red line. It  makes NO sense Trump has been able to secure Trade Deals around the world but Canada! Obvious to anyone with a Brain failure is Trudeau! He has failed!,Trudeau is a brainless failure.,Annotator-2
@USER The more this woman talks the more stupid she becomes. #TermLimits #Liberals,This liberal woman is stupid.,Annotator-2
@USER This is ridiculous...UNBELIEVABLE !!! So this fine young man is now dead because of a stupid reason .... come on !!!!! Gun control is the solution y'all so many innocent people got killed because of guns😡😡😡 This has to stop,Innocent people get killed because there is no gun control.,Annotator-2
@USER @USER Should have used a 44 magnum to make a real statement! And people like this teach our kids?,She is not setting a good example of a teacher.,Annotator-2
@USER conservatives believe all persons of color are a priori guilty of crimes therefore when PoC are denied their rights in extrajudicial killings no conservative EVER questions the killing.,Conservatives are racist and do not belive in the innocence of person of color.,Annotator-2
@USER Can somebody please put him back in his coffin.,He is as good as being dead.,Annotator-2
@USER @USER @USER . #Hypocrisy to see so called conservatives call out supposed sexual deviancy when just about every sexual political scandal in recent memory involves Republicans and it's really #homophobia #RoyMoore #Kavanaugh #JimJordan #MarkFoley #BobPackwood #ClarenceThomas #DonaldTrump,Republicans are homophobic yet they have engaged in sexual harrasements.,Annotator-2
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER LOL!! Same to you! Awe!  How’s it feel to want for the first time gimmie?!  Is that a new feeling for you?  Has mommy kept you on the tit all these years and now you don’t know how to fend for yourself?!,Some people are incompetent man child.,Annotator-2
@USER @USER @USER I know you're not this naive. Those people make up a very small % of Trump supporters. Do all Liberals support terrorist and (groups such as Antifa?,Few liberals support extremist ideas.,Annotator-2
@USER @USER What are these new ideas?  Speech laws gun control killing babies and thinking your entitled to free healthcare and rich ppls money just bc you exis?,You want everything for free for being alive.,Annotator-2
@USER @USER Jail is TOO KIND for a #Pedovore - where is the prosecution??  #AGSessions is the church getting away with pedo crimes?  What the hell is he holding?  is that a tentacle?  WTH  #PedoGateNews,Chruch is promoting pedophiles.,Annotator-2
@USER @USER Pope Char compares Pope Francis to the false prophet. Bingo! URL,Popes are not prophet.,Annotator-2
@USER @USER @USER He’s as clueless as out his disgusting looks as he is about every other thing there is to know.,He is unkempt and unaware of the things around him.,Annotator-2
@USER What?  All 12 of them?  What about the terrorists Antifa?  Farrakhan’s hateful and racist thugs?  BLM criminals?  Black Panthers?  Those groups have NO place either!,No form of anti-fascist are welcome.,Annotator-2
@USER @USER @USER @USER @USER @USER @USER Joe is just singing the old Liberal bullshit song and misrepresenting facts as usual.,Liberals mislead.,Annotator-2
@USER This is what conservatives think a genius looks like. LMAO,Conservatives are stupid.,Annotator-2
..@USER @USER 2 of 2 Vote her butt right out of office.  #DianeFeinstein is part of the problem in America not part of the solution.  Her old ideas and #ClarenceThomas tricks will not work this time.  #VoteRed2018 #KAG #ConfirmKavanaugh #ConfirmCoachK #MAGA,Voters will not be easily fooled.,Annotator-2
#GOP on personal responsibility...  He was drunk: boys will be boys  She was drunk: slut  #republicans #conservatives #kavanaugh,Conservaties use drunkness as an excuse for sexual assult.,Annotator-2
@USER Damn right .if you think any different then your part of the problem with this country .thank God we have a president who puts #AMERICA #FIRST instead of putting illigal aliens ahead of americans .,Trump will take care of the illegal immigrants.,Annotator-2
@USER @USER He's been trashing all along even to our allies.,He is a rude person.,Annotator-2
@USER And hypocrite flies in his private jet around the world?,He is a hypocrite.,Annotator-2
.@USER real goal: To make everyone in Wisconsin as dumb as he is. URL,He is a dumb person.,Annotator-2
@USER @USER It crossed my mind that Sheriff Israel may have ordered them to stand down. The democrats will use any tragedy to be in the public eye to promote gun control. It's a shame that these things even came to mind but I have seen too much from the Left to be surprised at anything.,Democrats spread half-truth to promote their agenda on gun control.,Annotator-2
@USER In other words #Mueller it’s not constipated In other words #Mueller has diarrhea? URL,Mueller is feigning his sickness.,Annotator-2
"#LibDemConf shows me that @USER are absolutely void of constructive ideas for the myriad problems the UK faces, and begging @USER and @USER moderates"" isn't the answer. Thatcher was right, the parrot is dead.""",Liberals unoriginal and not capable of solving problems.,Annotator-2
Democrat can't even compete w @USER #MAGA URL,Democrats are not competent enough for #MAGA.,Annotator-2
@USER @USER So Alyssa you saying he’s guilty?  What ever happened to innocent before guilty?  And if he is innocent would you at least tweet an apology?  Shut up and answer the tweet.,Alyssa you are jumping to conclusions without evidence.,Annotator-2
@USER Gutierries =💩 what did he do to help PR ? What is he doing now besides hoping for a high body count to blame on Trump,Gutierries is a piece of shit.,Annotator-2
@USER Eric Holder is an arms dealer and should be in jail how did this ass slip by,Holder is felon.,Annotator-2
@USER Get back on your peanut farm old man,Old people should mind their own business.,Annotator-2
"@USER primary argument against #Kavanaugh is that he is too Constitutional""  The democrats started a civil war during Clinton  They heightened their propaganda during Obama  They are scared animals backed into a corner  Antifa, BLM &amp; MS13 are their Sturmabteilung""",Democrats have weak arguments.,Annotator-2
@USER Both QAnon and Antifa will be listed as diseases,QAnon and Antifa should be exterminated from American society.,Annotator-2
@USER @USER Nurse is valuable in his own end!?!? Have you watched him play? He rarely gets the puck out in first attempt. Also not all that spectacular defensively. Not worth what he is holding out for.,Nurse is a good player.,Annotator-2
@USER @USER @USER @USER @USER No.   I mean parasite in the sense of private companies being an unnecessary  and universally-unwanted bauble imposed on an essential public service by people who put profits before public opinion and democracy.,Private companies are greedy and evil.,Annotator-2
@USER @USER I’ve never once heard you be thankful. All you do is shit on Canada. On the police. On our history. On Conservatives.,Some people just talk ill about Canadian heritage all the time.,Annotator-2
@USER @USER Just imagine if Dr Ford was a member of a minority. Antifa would be firebombing the Judge’s residence. #IDENTYPOLITICS,Anti-fascist can get violent.,Annotator-2
#qanda what happen to the predicted fall of Society after  SSM. Only the religious conservatives right     are the ones  running a muck in government.,Conservatives are playing dirty politics.,Annotator-2
@USER Thank you for saving the dogs!!!!why are people assholes,Asshole people hurt dogs.,Annotator-2
@USER Crazy how funny Jim used to be. Now it's funny how crazy he has become.,Jim has become laughably hysterical.,Annotator-2
@USER Keep up the good work while the liberals waste time crying and pointing the country moves closer to greatness again! MAGA,Liberals are always crying wolf even when America is doing good.,Annotator-2
@USER @USER You can’t accuse someone of something like this &amp; expect to not have to come forward &amp; testify about it! We’re we just suppose to believe it &amp; crucify him?  I am sure u liberals think so.,Liberals want you to believe everything without evidence and testimony.,Annotator-2
@USER Here is the problem with the left....they can’t have an intelligent debate on an issue. Want to prove a point? Have Norm on and question him about his comments and have points to counter his comments. Instead the left just silenced him. Shows their lack of intellegence.,"Leftists are unintelligent, and lack the ability to have discourse.",Annotator-2
@USER It is all about bs ☝Think there any more idiot tham the liberals.,Liberals are stupid.,Annotator-2
@USER It’s exactly why I tweet!! Well that and making fun of liberals and their insanity!! 🙏🇺🇸❤️✝️❤️🇺🇸🙏 GOD help!!! 🙏❤️✝️✝️❤️🙏,Liberals are mad people who should be made fun off.,Annotator-2
@USER Heard from who? You and your lying jealous cronies???,You are just making things up out of envy.,Annotator-2
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER If we don't destroy the Bush-Clinton Crime family we'll face many more like Obama!!,All Democrat candidates are same and equally undesirable.,Annotator-2
@USER Awesome win!! I truly believe Americans are sick to death of what the left is trying to do to destroy America and change our country into what it never was intended to be. Go vote America and MAGA! Thank you President Trump for believing in our country and keeping promises.,Left is tearing America apart.,Annotator-2
@USER @USER Is no one considering the fact that Russia might be using Antifa to spread black propaganda??? Remember the Berlin Wall???,Anti-fascist are puppets in the hand of Russian.,Annotator-2
@USER Poor Germans...they have  refugee violence and antifa violence..it must be nice to live in Germanistan.,German bas become baston for voilence.,Annotator-2
@USER He is going to destroy america like he has done to many of his businesses he does care about middle or lesser america and americans he only cares for himself and the top 1% who hopefully see the light soon before they have no countries to sell their products to,Trumo only cares for himself and not the poor american.,Annotator-2
@USER @USER All he is missing are the inmate number,He is as good as a criminal.,Annotator-2
@USER You are a Communist state controlled newspaper.   Very much like #ANTIFA would love to see.   And your country executes people who dissent with your support.   Enough said.   Get off my twitter stream,Anti-fascist seem to be close to communist ideology.,Annotator-2
@USER HYPOCRITE!! You run a commercial about ur support for gun control &amp; protecting kids showing ur kids. Really! U support ABORTION. What’s the difference in that and a gun? They BOTH KILL! @USER @USER @USER @USER @USER,"Gun and abortions both are used to kill the innocent, you are hypocrite to control one and not the other.",Annotator-2
@USER Liberals like you WILL never convince us to become lazy entitled victims. But keep trying. I just feel sorry for your son. Having to be raised by someone who will only impart him with the mindset of self-hate and victim-hood.,Liberals are haters and play the victim.,Annotator-2
@USER @USER @USER Most mass shooters are liberal white men. We should have liberal control not gun control.,Liberals not guns are the problem.,Annotator-2
@USER @USER @USER @USER @USER Please TX don’t elect this fake Conservative. He is bought &amp; paid for with Soros money. So many unethical things in his personal history!,Conservatives are assumed to not be unethical.,Annotator-2
@USER @USER We all know this is another Liberals Corruption!!,Libearls are corrupt.,Annotator-2
@USER Don't you have to weigh under 200 lbs to be considered a 'porn star'?,Porn stars have thin physique.,Annotator-2
@USER @USER @USER @USER Bank deregulation happened under Gordon Brown with his dramatic changes announced in 1997 (not in manifesto) including independent central bank and removal of @USER supervision of financial sector. How old are you? Who taught you this rubbish version of history?,Some people misappropriate history for their own sake.,Annotator-2
@USER @USER why do you identify as antifa if you're transphobic?,Anti-fascist cannot be transphobic.   ,Annotator-2
@USER @USER @USER Why do some conservatives blindly follow a fascist?,Some conservatives are fascist.,Annotator-2
"@USER Well, there's that one idiot you keep thinking will show up in your mirror every sundown when you rise again to walk the night in search of carnage to fill the emptiness where your heart &amp; soul used to be. Altho, now ya mention it, lots of other conservatives"" come to mind too.""",You and other conservatives are idiots.,Annotator-2
"@USER Tough crap Mazie! There should be a Me Too"" for men with false accusations against them as well as those hurt by Democrat lies, false accusations, biased government agencies, biased media sensationalism and Antifa bullies etc......""",Men also get falsely accused by biased.,Annotator-2
"@USER @USER @USER @USER Um, no? Saying that Labour is the party of hatred"" implies they are the most hateful party, and therefore The Conservatives are less hateful.  Whilst the claim about the Tories can be disputed, it's not whataboutery.""",COnservatives and Labours both are hateful in nature.,Annotator-2
@USER @USER @USER @USER @USER He had 1 offer since june! The shitty browns that's it!! Stop thinking he is still good you are living in the past,He is not as good as he used to be.,Annotator-2
@USER Gun Control means using both hands. And in this case means acquiring the correct target. You can’t fix stupid.,"Firing a gun takes concentration, stupid people cannot do that.",Annotator-2
@USER Holder should've been removed and jailed years ago.,Holder needs to stripped of his position and punished.,Annotator-2
#DougFord again using #Trump-style authoritarian tactics: •Discredit the media. •Repeatedly spread lies. •Build a false reality for your followers.  These are smart people. The conservatives know what they're doing. This is a planned strategy to weaken democracy. #ONpoli URL,Conservatives plot to weaken democracy.,Annotator-2
@USER @USER @USER No you wouldn't sis I know damn well you would probably call it cute people propose in concerts all the time yet when its a gay couple its wrong you're at a fucking concert you don't have to pay attention,You are homophobic and should mind your own business in public.,Annotator-2
"@USER She is saying Ben, Ben, when the hell are you going to do something more than just tweet crap about djt?""""",She is waiting for others to take initiative.,Annotator-2
@USER yesterday this happen here😳 So much for gun control when you can't prevent a 2nd grader from bringing a gun to school huh😏 URL,Gun control could not prevent kids from carrying guns to school.,Annotator-2
@USER @USER @USER Old pic. Trump is not monitoring anything related to the Hurricane.  Pretty sure he is shitting his pants right about now,Trump is too coward to face reality.,Annotator-2
@USER @USER Liberals ruin a life doesn’t matter as long as they win in the end! Must stop! The have no Conscience,Liberals want to win even if it comes at cost of someone's life.,Annotator-2
Pigeon Girl can also send pigeons to poop on all MAGA hats.,People are acting up to gain attention,Annotator-2
@USER This lies how she got the key ! Why she don’t admit she was in date or maybe had NSA with ? she is married ? What is true story ! BS ! Ok we all respct police officer but her story and excuse full of shit ! Please post her photo ! Let see how fat she is !,She could be ugly and lying.,Annotator-2
@USER As if a liberal beta male could engage in sex with a straight female.,Liberal males are not capable of heterosexual relations.,Annotator-2
@USER Gun control . . . means being to hit what your aiming at! These elderly homeowner have great gun control!,Firing requires precision which some elderly also do.,Annotator-2
"@USER The perpetrator is responsible for his own actions but you are ignoring that Maxine Waters &amp; others are inciting violence.  Do consider she said that they should not be able to eat, shop or do anything in peace""... how would one survive without being able to trade?""",Politicans like Maxine Waters indirectly incite violence.,Annotator-2
"@USER @USER URL a high-tech lynching for Uppity (Republican) Blacks'"" is fine, but raping women by liberals?' ""THEY ALL DO IT” including Bill Clinton.""",Liberals will support even a sexual assult by democrats politicians.,Annotator-2
@USER @USER She thought she would be low profile and help the Dem party get rid of Kavanaugh and she could remain anonymous. She most likely was promised this by the party. Now that she can be charged with perjury she will continue with playing a victim. She is not. Lying is a can of worms.,Her lies have gotten out of control.,Annotator-2
@USER For lying? How much is the DNC/Soros/Antifa paying her? How’s your Chinese spy doing?,You are a liar.,Annotator-2
@USER They meet many many fans it’s amazing that he remembered her don’t be a bitch,She is a bitch.,Annotator-2
@USER @USER @USER they are bullshit stats. but say isn't london the murder capital of europe now? that gun control working right? germany having some SERIOUS crime problems. maybe u should take care of business at home be4 u start tweeting about the US,"Gun control has proven ineffective around the world, so EU should not interfere in domestic issues of USA.",Annotator-2
@USER @USER A clear majority of conservatives approve of Trump and the GOP. Don’t be stupid.,Only stupid peole are not supportive of Trump.,Annotator-2
@USER God help us. the woman cant even get coherent sentence out of her mouth.,She is incapabale of talking coherently.,Annotator-2
@USER The killer is in the house. #MAGA #WallDoesntProtectFromAmericans,It is not immigrants but American themselves killing fellow citizens.,Annotator-2
"@USER @USER @USER @USER @USER with the caption so much for the tolerant left"" ... yup you fit the description of ANTIFA . I suspect you are not a threat as I doubt you can attack any reporters from your mom's basement.""",Anti-facist pretend to be threating while living off parent's basement.,Annotator-2
@USER Do not think so maybe do a little research buddy!,Some people speak and think without due diligence.,Annotator-2
"@USER @USER @USER But what makes you think they are liberals?  There is nothing liberal about any of that.  These people spent the '90s insulting liberals, publicly humiliating black activists, and openly attacking the New Deal.  Where is the liberal"" part?  They passed GOP policies!""",Liberals are not as prestine as they pretend to be. ,Annotator-2
@USER @USER Here come the beta liberals lmao *convo muted you can cry all day to yourselves.,Beta liberals are cry baby.,Annotator-2
"@USER Well remember how the cops in San Jose stood down"" and watched as antifa thugs armed with bats,bottles &amp; pepper spray attacked Trump rally goers?  They were ""just following orders"".  That's what most soldiers &amp; cops do. Soldiers follow orders &amp; cops protect their paycheck.  SAD.""",Cops and soliders do the bidding of liberals.,Annotator-2
"#GreatestThingsAboutThe90s NOTHING. The treacherous lefty media people made sure Benny Hill was taken off TV and even more treacherous conservatives"" conspired to remove Maggie Thatcher as our leader then almost fatally signed us even deeper into the extremely hostile commie EU""",Left has been screwing Britain since the 90s.,Annotator-2
"@USER @USER I wonder if they will burn their Levis since @USER has come out in favor of gun control? Levi Strauss teams up with gun control group: We cannot stand by silently"" URL URL",people who support gun control burn things,Annotator-2
"WHY ... it's their trail of corruption ... and they have so much of it going on, and at all times, they don't want any slips"" ... don't want American people to know who they really are AND WHAT THEY'VE BEEN UP TO ... #MAGA URL","Some people are so corrput, they do not want the truth to be out at any cost.",Annotator-2
@USER @USER I believe gun control should consist of guarding your firearms from thivery and kids.,Gun control should support personal safety.,Annotator-2
@USER @USER @USER Glad her career is ruined by the way. She deserves to be ruined after what she done. Just because she WAS a celebrity doesn't mean she should be excused. Doesn't mean she is above the law.,People deserve punishment for they bad behaviour.,Annotator-2
@USER And these are the *people pushing for gun control 😒,Some people are hypocritical in their stand towards gun control,Annotator-2
@USER MAGA white people,White people will make America great again.,Annotator-2
@USER @USER @USER @USER @USER That's my biggest question. Do we just widdle away until there is no 2nd amendment left? I do believe in some limited gun control but im worried we will be expected to just keep giving into the gun haters.,Supporters of gun control are now becoming gun haters.,Annotator-2
@USER The presumption of innocence only applies to Lefist Liberals. You are guilty from the get go if you're a Conservative.,Liberals are hypocrites who point fingers at conservatives. ,Annotator-2
@USER @USER @USER @USER  how does helpmto buy help the homeless??  Oh. It doesn’t does it? How does it help@USER on low income??? Oh it doesn’t in Work poverty at an all time high. How does it help them?? Oh it doesn’t. Thanks for nothing,"The system is broken, it does not help those in need.",Annotator-2
@USER Djt &amp; Gop- MAGA. Only for old scared white men again. Making women property again.,Women should be controlled by white men.,Annotator-2
@USER @USER @USER Lil girl we having an adult conversation so take your thin ass on somewhere ya dig,Some folks are as unaware as a little girl.,Annotator-2
@USER @USER This is purely a move to block a nomination. Liberals said early on they would not vote for him. This made up story is a slap in the face to all who were really sexually harassed. It shows liberals really don’t care about any true victims. Power first.,Liberals are making up stories of assault to forward their agenda.,Annotator-2
@USER It’s not a right mind. If it were they wouldn’t be conservatives.,Non-conservatives do not any brain.,Annotator-2
@USER @USER that's hilarious.... let those #PuertoRicans legalize pot so they can forget about their problems after #HurricaneMaria...🇺🇸💵😏🤣  #ThursdayThoughts #ThursdayMotivation #resistance #resist #MAGA #Military #veterans #TCOT #ThisIsAmerica URL,PuertoRicans should get high to forget how pathetic their state is.,Annotator-2
@USER @USER @USER @USER have become the party of “the Sky is falling” and “we are all going to die”.  What a sad bunch.,Some people are always crying wolf.,Annotator-2
@USER You are so right on this issue and Democrats have been lying to the American people for to long lately it seems like there all going crazy in the head lol,Democrats are always lying and are now headed for a downfall.,Annotator-2
.@USER @USER @USER @USER @USER @USER @USER @USER   And Liberals think GUNS are the problem? URL,Liberals are a short sighted in their gun control appeal.,Annotator-2
@USER @USER Racist all she is. My god less then 10% of population and cry 😿 more then other 90 put together. Trump doing a great job just cause he got white skin ya don't need hate on him over and over and over,She is prejudiced against white people.,Annotator-2
@USER vs Antifa. I know who my money’s on. But seriously this is such a stupid thing to do. URL,Anti-fascist are stupid and bound to loose.,Annotator-2
"@USER Don't forget Antifa""...and ""ACORN""...And that terrorist that Obama ""palled (??) around with!  Hahahahahha...do you listen to your own malarkey?""",Antifa is as bad as terrorist group.,Annotator-2
@USER Can you imagine being married to that crazy b#tch? Good God!,She is not fit for marriage.,Annotator-2
@USER @USER Choosing heartless politician over your ancestors country.  Speaks volumes as to who you are.,Some people are not nationalist.,Annotator-2
@USER If you are looking for hard heads you only have to look at the Republican Congress,Republican Congress are dim-witted.,Annotator-2
@USER Kavanaugh needs to stop lying... I believe this woman's account is credible and he is not going to be able to dodge it.,A Supreme court judge should not lie.,Annotator-2
@USER What's doing detriment to this state (and country) is Republicans who refuse to govern as the conservatives they campaign to be. McDaniel may have some flaws (who doesn't) but he's the kind of fighter we need. Some of us are sick of the losers the GOP keeps giving us.,We deservers fighters not loosers in the parliment.,Annotator-2
@USER @USER False.  Your intrusion on the constitutional rights of honest Americans did NOTHING to curb violent crime.  Gun control = violence against the law-abiding citizen.,Gun control has led to voilence against law-abiding citizens.,Annotator-2
@USER @USER @USER ...unless you are good with an accused rapist sitting on the highest bench in the land. I'm sure your female constituents would love to hear you explain that away...,You can be supportive of females if you have rapist as judges.,Annotator-2
@USER @USER Buckle up Democrats and liberals! The shit is about to hit the fan for you and the FBI/DOJ !,Democrats and liberals are about to be screwed.,Annotator-2
"@USER @USER @USER @USER @USER At least we have brains to fall out"" in the first place; unlike conservatives who believe everything their handlers feed them.""","Conservatives are foolish and gullible, easy to brainwash.",Annotator-2
@USER @USER Tbere aren't hardly any Conservatives left in California. Perhaps the threats are just unintelligible robo calls by Antifa comrades jacked up on Starbucks and Lucky Charms.,Anti-fascist are the real threat to California.,Annotator-2
How does this #MAGA...?!? Is this our tax dollars at work...?!? URL,MAGA campaign is a wastage of tax money.,Annotator-2
@USER Just because some flaky pink hat wearing woman says so? Try again. Where’s the police records and the like. Tired of liberals thinking they can lie to ruin someone’s life because they don’t like Trump,Liberals lie and ruin lives to get back at Trump.,Annotator-2
"@USER @USER @USER @USER @USER @USER Good luck with that! I dont follow along with fascists like the #resist movement and their apple and google overlords. I know what happened in ww2 and its the rhetoric they use that put us there. I dont need a GOD"" to see the hate spewed from #Antifa and how that is wrong.""",Anti-facist can be voilent and hateful too.,Annotator-2
Bias Blockers: The New Glasses Made for #MAGA Racists and Homophobes — WATCH URL URL,MAGA supports are racists and homophic who need to see the world for the better.,Annotator-2
@USER @USER @USER The most ironic thing is. The dems hasten their own demise while empowering their executioners.   Do they think once this monster is unleashed that it will not turn on them first?  #MAGA #WWG1WGA Written by Antifa terrorists 👇👇👇👇👇👇👇👇👇👇👇👇 URL,Anit-facism is similar to a terrorist group that will destroy Democrats.,Annotator-2
2 hours at midnight and she said she is not a call girl?  -Awkward!,She is behaving like an escort.,Annotator-2
@USER Did this happen when she played her sister? “Mom!!!! Serena beat me over my head with the tennis racket again.”  “ Now. Now. Mommy will bake you some cookies and tell you how your sister is marginalizing your existence.”,She is throwing a temper tantrum and masking it by racial marginalization.,Annotator-2
@USER Actually it seems more specific than that. It appears the CBC is saying opposing gun control is the same as covering up child molestation in the catholic church. WTF??,CBC is putting gun control next to pedophile activities.,Annotator-2
@USER @USER NO REAL AMERICAN WOULD WATCH THIS CRAP,True American should not have to watch this.,Annotator-2
@USER @USER And what do you think Ron desantis is going to do for you? He's probably in the back pocket of the NRA!! Good luck getting anything done as far as gun control because that is what we'r seriously need as a country! We need tougher background checks at least!!,Ron Desantis is a sell-out.,Annotator-2
@USER ANTIFA? As in anti fascism? Damn who wouldn't want that in America? Maybe our ancestors who fought the nazis in ww2?,Anti-fascist groups are motivated by Nazi.,Annotator-2
@USER Gitmo could resolve Holders issues along with all of Obama’s Clowns,Obama and his administration was a circus run by clowns.,Annotator-2
@USER @USER @USER @USER @USER @USER @USER @USER You know you're a racist monkey huh?  I'm sure you know what you are a piece of trash.  I never hear these pieces of horse shit speak the truth only their racist lies.  Bitch boy it's ABOUT THE RACIST COPS KILLING UNARMED BLACK AND BROWN PEOPLE!!  THAT'S THE FACT.  ASS CLOWN!!,Racists do not acknowledge racial killing.,Annotator-2
@USER @USER @USER Move to North Korea where you will find all the oppressive authoritarian gun control you want. Any one of these other countries with low gun ownership should work for you too. Good luck! URL,People who seek stricter gun control should try living in authoritarian regimes.,Annotator-2
@USER @USER Bill Clinton enjoyed raping them while Ted Kennedy enjoyed killing them. But you are cool with that.,Democrat president have abused their position of power and assulted other people.,Annotator-2
@USER no she was mumbling i couldn’t hear shit she literally spoke w hand signs,She lacks ability to speak clearly.,Annotator-2
@USER @USER Liberals want Bert and Ernie to be gay.  WTAF.,Liberals can turn everything homosexual.,Annotator-2
@USER @USER Who appointed you the spokesman for the people at Lake Norman. I Guess you interviewed every person at the lake and it a unanimous poll against President Trump. NOT LIKELY. You are like most liberals who try to speak for everybody,Liberals try to pass their opinion as everybody's opinion.,Annotator-2
@USER @USER @USER That's why what she did was an ANTIFA style attack. Abusive method meant to bully opposition into silence for control,Anti-facist are bullies.,Annotator-2
@USER Figures! What is wrong with these idiots? Thank God for @USER,They are idiots.,Annotator-2
